node_type,x(m),y(m),primary_channel,min_channel_allowed,max_channel_allowed,RSSI,SINR,throughput
0,10,10,4,4,5,20,10000,111.77
1,0.0713,10.8079,4,4,5,-65.37,29.36,5.79
1,1.9627,4.1427,4,4,5,-65.35,29.48,6.11
1,13.7849,16.7538,4,4,5,-61.41,31.97,6.91
1,6.7112,1.7487,4,4,5,-63.52,31.26,9.99
1,13.1934,2.3628,4,4,5,-62.42,32.05,9.44
1,17.6857,7.6662,4,4,5,-61.96,31.69,7.25
1,19.4473,8.4359,4,4,5,-64.72,29.04,5.88
1,4.3802,2.0739,4,4,5,-64.96,29.86,7.38
1,16.0383,10.9948,4,4,5,-58.06,35.6,10.91
1,17.8436,9.8488,4,4,5,-61.61,31.86,10.05
1,12.0082,17.2247,4,4,5,-60.94,32.88,10.26
1,4.7865,5.2762,4,4,5,-60.01,34.69,7.93
1,19.7406,7.8867,4,4,5,-65.38,28.28,4.88
1,15.8196,8.7287,4,4,5,-57.69,36.28,8.99
0,30,10,6,6,7,20,10000,111.11
1,20.2761,9.5743,6,6,7,-64.99,28.86,8.1
1,32.1268,13.9079,6,6,7,-53.92,38.73,10.44
1,21.1853,9.4585,6,6,7,-63.43,30.25,9.23
1,22.7941,3.326,6,6,7,-65.14,28.93,7.57
1,25.3186,14.1397,6,6,7,-58.34,34.73,8.45
1,25.6312,9.8077,6,6,7,-53.7,39.24,12.21
1,23.994,7.5242,6,6,7,-58.88,34.55,12.98
1,27.6101,4.246,6,6,7,-58.3,35.41,12.36
1,36.6176,15.4905,6,6,7,-63.01,30.07,6.98
1,35.2324,3.5209,6,6,7,-62.51,31.14,11.83
1,22.3359,7.2701,6,6,7,-62.16,31.39,10.94
0,50,10,0,0,3,20,10000,77.72
1,54.2431,18.7164,0,0,3,-67.94,10.85,0.23
1,56.1009,15.744,0,0,3,-65.62,18.5,1.46
1,57.5722,10.5639,0,0,3,-64.13,27.65,7.91
1,44.0458,2.0263,0,0,3,-68.37,22.15,7.76
1,59.8148,10.7176,0,0,3,-68.18,23.95,5.3
1,47.4136,12.8169,0,0,3,-55.09,30.27,7.53
1,43.3672,4.5284,0,0,3,-66.02,23.36,7.37
1,51.5868,18.6822,0,0,3,-66.43,15.03,2
1,53.0912,6.2136,0,0,3,-58.11,28.14,7.99
1,49.7891,19.3814,0,0,3,-67.41,15.05,2.07
1,52.2491,1.2303,0,0,3,-66.83,22.13,4.76
1,51.5147,16.2531,0,0,3,-61.76,25.96,4.99
1,50.857,7.0355,0,0,3,-52.6,34.2,7.6
1,54.6064,17.4101,0,0,3,-66.25,21.96,1.15
1,44.752,16.9807,0,0,3,-66.26,20.53,2.38
1,49.108,18.1139,0,0,3,-65.22,17.99,3
1,56.9919,14.4124,0,0,3,-65.41,25.83,4.22
0,70,10,2,2,3,20,10000,43.05
1,72.5567,3.7196,2,2,3,-59.48,31.79,3.49
1,68.9539,19.6627,2,2,3,-64.97,25.28,1.98
1,66.4637,16.1982,2,2,3,-60.21,30.42,2.46
1,64.4105,4.5231,2,2,3,-61.57,30.4,2.8
1,79.5983,8.2102,2,2,3,-65.04,27.95,3.1
1,71.9678,16.2869,2,2,3,-59.08,31.98,4.72
1,71.1798,11.3355,2,2,3,-43.67,47.05,4.92
1,67.914,4.2632,2,2,3,-58.02,33.54,4.3
1,67.7384,16.5574,2,2,3,-59.81,30.79,3.49
1,72.1818,3.4295,2,2,3,-59.78,31.81,4.58
1,76.4347,17.5523,2,2,3,-65.31,26.71,2.83
1,67.3324,6.7199,2,2,3,-53.29,36.84,4.38
0,10,30,0,0,3,20,10000,79.87
1,10.169,36.14,0,0,3,-61.12,26.8,2.69
1,10.6696,23.2196,0,0,3,-62.56,27.69,6.45
1,4.5084,31.7788,0,0,3,-60.28,29.35,4.07
1,3.0553,32.0476,0,0,3,-63.43,26.08,5.61
1,16.1783,23.0496,0,0,3,-67.26,22.71,6.37
1,14.1208,37.6326,0,0,3,-66.15,24.95,0.69
1,1.165,29.2048,0,0,3,-66.51,24.16,5.61
1,1.7793,35.5097,0,0,3,-68.28,25.37,1.61
1,15.7552,24.8246,0,0,3,-64.42,24.34,6.53
1,7.94,32.9581,0,0,3,-54.39,32.63,5.38
1,12.9764,35.0969,0,0,3,-60.57,26.06,4.53
1,8.1755,35.3443,0,0,3,-59.98,26.8,3.84
1,10.8079,24.1489,0,0,3,-60.58,29.16,6.99
1,3.3741,29.9927,0,0,3,-62.17,27.74,5.91
1,14.2848,29.9348,0,0,3,-56.46,31.05,6.37
1,15.8573,35.633,0,0,3,-65.15,21.39,1.61
1,16.784,29.2354,0,0,3,-62.59,25.33,5.61
0,30,30,0,0,7,20,10000,57.14
1,30.0018,26.585,0,0,7,-56.77,22.19,7.45
1,21.2754,33.8238,0,0,7,-70.66,11.1,0.69
1,31.4538,29.8148,0,0,7,-47.7,31.66,7.07
1,34.5646,29.1605,0,0,7,-60.46,18.27,5.53
1,28.598,23.8831,0,0,7,-64.42,9.51,0.08
1,32.1277,32.4524,0,0,7,-56.19,25.29,7.83
1,33.6931,22.3351,0,0,7,-68.86,7.26,0.08
1,36.3877,31.7043,0,0,7,-65.15,16.37,3.38
1,29.9533,24.74,0,0,7,-62.06,11.85,7.14
1,22.4646,34.9449,0,0,7,-69.77,11.73,2
1,36.3722,37.4332,0,0,7,-71.11,8.51,0
1,23.7731,33.8436,0,0,7,-66.6,16.16,4.07
1,28.5752,23.9423,0,0,7,-64.31,14.34,0.15
1,36.7974,28.8859,0,0,7,-65.73,13.53,3.38
1,29.7178,32.4005,0,0,7,-52.91,28.73,7.83
1,38.1691,26.4512,0,0,7,-69.58,8.13,0
1,20.4635,30.6506,0,0,7,-70.72,11.27,0.46
0,50,30,0,0,7,20,10000,37.31
1,45.8872,29.1687,0,0,7,-59.22,20.39,8.91
1,50.2444,39.5647,0,0,7,-70.73,9.32,0.08
1,43.2143,35.6898,0,0,7,-69.49,17.4,0.08
1,45.0062,36.3955,0,0,7,-68.14,15.97,0.84
1,49.2945,29.1703,0,0,7,-44.75,33.99,7.45
1,51.0053,33.6808,0,0,7,-58.07,22.32,7.3
1,57.5078,31.3065,0,0,7,-67.2,20.33,1.45
1,55.9058,33.2039,0,0,7,-65.37,20.57,2.6
1,42.5351,34.1303,0,0,7,-68.91,12.03,0.15
1,57.9519,26.3585,0,0,7,-69.29,18.03,0.54
1,50.7649,38.6104,0,0,7,-69.11,10.55,0.38
1,52.6651,30.8862,0,0,7,-54.56,23.13,7.53
0,70,30,2,2,3,20,10000,48.08
1,66.2359,38.1465,2,2,3,-63.68,23.64,2.94
1,64.3741,23.1251,2,2,3,-63.52,24.7,1.57
1,75.7783,27.2942,2,2,3,-58.63,32.93,5.68
1,63.5527,29.4678,2,2,3,-58.82,27.38,3.76
1,71.5732,22.312,2,2,3,-61.61,28.13,4.04
1,63.4933,33.0914,2,2,3,-60.35,26.38,3.63
1,63.0592,25.9326,2,2,3,-61.99,25.74,2.53
1,70.3411,37.4888,2,2,3,-60.93,26.9,4.72
1,74.804,21.8414,2,2,3,-64.54,26.39,3.66
1,67.8813,24.5111,2,2,3,-57.52,30.65,4.53
1,63.8271,24.7228,2,2,3,-62.13,25.66,1.92
